pktdeliveryratio,pktinterarrival time,packetloss,pktservicetime,class
1.09964,0.006345,196,0.252848,high
1.00889,0.006188,15,0.234214,medium
1.05963,0.006297,180,0.421522,high
1.17912,0.007133,0,0.149418,low
1.08762,0.014714,16,0.324113,medium
1.10696,0.013077,76,0.348417,medium
1.03608,0.006331,6,0.144089,low
162.818,4.47146,5,12.4242,high
1.10976,0.006288,181,0.279045,high
1.0658,0.00753,146,0.498054,high
1.0067,0.005925,5,0.123289,low
1.39578,0.035142,6,0.009551,low
1.10215,0.00635,171,0.228611,medium
1.12423,0.006156,2,0.246231,low
1.04547,0.006419,39,0.189812,medium
1.46896,0.023847,292,0.758533,high
1.12423,0.006156,2,0.246231,low
1.00762,0.006753,7,0.198902,low
1.15726,0.007202,450,0.621439,high
1.00622,0.005975,5,0.201091,low
1.00692,0.006136,7,0.114857,low
1.00622,0.005975,5,0.201091,low
1.15726,0.007202,450,0.621439,high
1.12423,0.006156,2,0.246231,low
1.09726,0.014067,52,0.444487,high
1.03785,0.006491,19,0.287064,medium
1.40345,0.035331,8,0.007016,low
1.40345,0.035331,8,0.007016,low
1.04547,0.006419,39,0.189812,medium
1.10025,0.006258,41,0.143196,medium
1.09884,0.006231,372,0.430052,high
1.00635,0.005988,6,0.207376,low
1.00762,0.006753,7,0.198902,low
1.39252,0.035056,8,0.007141,low
1.21715,0.00657,447,0.350807,high
